Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
3,92,ARI,Brandon Williams\WillBr07,CB,24,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,,Texas A&M,
3,93,CLE,Cody Kessler\KessCo00,QB,23,2016,0,0,0,0,0,2,49,73,467,1,1,4,1,0,,,,,,,USC,College Stats
3,94,SEA,Nick Vannett\VannNi00,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
3,95,DET,Graham Glasgow\GlasGr00,C,24,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Michigan,College Stats
3,96,NWE,Vincent Valentine\ValeVi00,DT,22,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,1.0,Nebraska,College Stats
3,97,SEA,Rees Odhiambo\OdhiRe00,G,24,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,Boise St.,College Stats
3,98,DEN,Justin Simmons\SimmJu00,FS,22,2016,0,0,0,0,0,3,,,,,,,,,,,,5,,,Boston Col.,College Stats
4,99,CLE,Joe Schobert\SchoJo00,OLB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,3,,,Wisconsin,College Stats
4,100,OAK,Connor Cook\CookCo00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats
4,101,DAL,Charles Tapper\TappCh00,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
4,102,SDG,Joshua Perry\PerrJo01,ILB,22,2016,0,0,0,0,0,3,,,,,,,,,,,,2,,,Ohio St.,College Stats
4,103,JAX,Sheldon Day\DayxSh00,DT,22,2016,0,0,0,0,0,4,,,,,,,,,,,,3,,,Notre Dame,College Stats
4,104,BAL,Tavon Young\YounTa01,CB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,5,1,,Temple,College Stats
4,105,KAN,Parker Ehinger\EhinPa00,G,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Cincinnati,College Stats
4,106,KAN,Eric Murray\MurrEr00,CB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Minnesota,College Stats
4,107,BAL,Chris Moore\MoorCh00,WR,23,2016,0,0,0,0,0,4,,,,,,,,,4,30,0,,,,Cincinnati,College Stats
4,108,TAM,Ryan Smith\SmitRy00,CB,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,North Carolina Central,
4,109,NYG,B.J. Goodson\GoodB.00,OLB,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Clemson,
4,110,LAR,Tyler Higbee\HigbTy00,TE,23,2016,0,0,0,0,0,4,,,,,,,,,1,2,0,,,,West. Kentucky,College Stats
4,111,DET,Miles Killebrew\KillMi00,SS,23,2016,0,0,0,0,0,4,,,,,,,,,,,,1,,,Southern Utah,
4,112,NWE,Malcolm Mitchell\MitcMa01,WR,24,2016,0,0,0,0,0,4,,,,,,,,,4,75,0,,,,Georgia,College Stats
4,113,CHI,Nick Kwiatkoski\KwiaNi00,ILB,23,2016,0,0,0,0,0,2,,,,,,,,,,,,1,,,West Virginia,College Stats
4,114,CLE,Ricardo Louis\LouiRi00,WR,22,2016,0,0,0,0,0,4,,,,,,,,,6,68,0,,,,Auburn,College Stats
4,115,ATL,De'Vondre Campbell\CampDe00,OLB,23,2016,0,0,0,0,0,1,,,,,,,,,,,,4,,,Minnesota,College Stats
4,116,IND,Hassan Ridgeway\RidgHa00,DT,21,2016,0,0,0,0,0,4,,,,,,,,,,,,2,,0.5,Texas,College Stats
4,117,LAR,Pharoh Cooper\CoopPh00,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats
4,118,NYJ,Juston Burris\BurrJu00,CB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,1,,,North Carolina St.,
4,119,HOU,Tyler Ervin\ErviTy00,RB,22,2016,0,0,0,0,0,4,,,,,,1,3,0,1,5,0,,,,San Jose St.,College Stats
4,120,NOR,David Onyemata\OnyeDa00,DT,,2016,0,0,0,0,0,4,,,,,,,,,,,,2,,,Manitoba,
4,121,MIN,Willie Beavers\BeavWi00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,West. Michigan,College Stats
4,122,CIN,Andrew Billings\BillAn00,NT,20,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats
4,123,PIT,Jerald Hawkins\HawkJe00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
4,124,CHI,Deon Bush\BushDe00,S,,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,Miami (FL),College Stats
4,125,IND,Antonio Morrison\MorrAn01,ILB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,,Florida,College Stats
4,126,KAN,Demarcus Robinson\RobiDe01,WR,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Florida,College Stats
4,127,CHI,Deiondre' Hall\HallDe02,CB,,2016,0,0,0,0,0,4,,,,,,,,,,,,2,1,,Northern Iowa,
4,128,ARI,Evan Boehm\BoehEv00,C,23,2016,0,0,0,0,0,5,,,,,,,,,,,,,,,Missouri,College Stats
4,129,CLE,Derrick Kindred\KindDe00,FS,22,2016,0,0,0,0,0,4,,,,,,,,,,,,15,,,TCU,College Stats
4,130,BAL,Alex Lewis\LewiAl01,T,24,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Nebraska,College Stats
4,131,GNB,Blake Martinez\MartBl01,LB,22,2016,0,0,0,0,0,3,,,,,,,,,,,,13,,,Stanford,College Stats
4,132,BAL,Willie Henry\HenrWi00,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
4,133,SFO,Rashard Robinson\RobiRa00,CB,21,2016,0,0,0,0,0,5,,,,,,,,,,,,7,,,LSU,
4,134,BAL,Kenneth Dixon\DixoKe00,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats
4,135,DAL,Dak Prescott\PresDa01,QB,23,2016,0,0,0,0,0,4,89,131,1012,3,0,12,57,2,,,,,,,Mississippi St.,College Stats
4,136,DEN,Devontae Booker\BookDe00,RB,24,2016,0,0,0,0,0,4,,,,,,23,92,0,2,22,0,,,,Utah,College Stats
4,137,GNB,Dean Lowry\LowrDe00,DE,22,2016,0,0,0,0,0,3,,,,,,,,,,,,3,,,Northwestern,College Stats
4,138,CLE,Seth Devalve\DevaSe00,TE,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Princeton,
4,139,BUF,Cardale Jones\JoneCa01,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
5,140,TEN,Tajae Sharpe\SharTa00,WR,21,2016,0,0,0,0,0,4,,,,,,,,,16,172,0,,,,Massachusetts,College Stats
5,141,CAR,Zack Sanchez\SancZa00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
5,142,SFO,Ronald Blair\BlaiRo00,DE,23,2016,0,0,0,0,0,5,,,,,,,,,,,,,,0.5,Appalachian St.,College Stats
5,143,OAK,DeAndre Washington\WashDe00,RB,23,2016,0,0,0,0,0,4,,,,,,23,147,0,6,37,0,,,,Texas Tech,College Stats
5,144,DEN,Connor McGovern\McGoCo00,G,,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats
5,145,SFO,John Theus\TheuJo00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
5,146,BAL,Matt Judon\JudoMa00,DE,,2016,0,0,0,0,0,3,,,,,,,,,,,,2,,,Grand Valley St.,
5,147,SEA,Quinton Jefferson\JeffQu00,DT,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Maryland,College Stats
5,148,TAM,Caleb Benenoch\BeneCa00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats
5,149,NYG,Paul Perkins\PerkPa00,RB,21,2016,0,0,0,0,0,2,,,,,,2,8,0,2,72,0,,,,UCLA,College Stats
5,150,CHI,Jordan Howard\HowaJo00,RB,21,2016,0,0,0,0,0,3,,,,,,35,178,0,9,77,0,,,,Indiana,College Stats
5,151,DET,Joe Dahl\DahlJo00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats
5,152,WAS,Matthew Ioannidis\IoanMa01,DT,22,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Temple,
5,153,PHI,Wendell Smallwood\SmalWe00,RB,22,2016,0,0,0,0,0,3,,,,,,20,96,1,0,0,0,,,,West Virginia,College Stats
5,154,CLE,Jordan Payton\PaytJo00,WR,23,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,UCLA,College Stats
5,155,IND,Joe Haeg\HaegJo00,T,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,North Dakota St.,
5,156,BUF,Jonathan Williams\WillJo07,RB,22,2016,0,0,0,0,0,1,,,,,,3,2,0,,,,,,,Arkansas,
5,157,TEN,LeShaun Sims\SimsLe00,CB,,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,Southern Utah,
5,158,NYJ,Brandon Shell\ShelBr00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats
5,159,HOU,K.J. Dillon\DillK.00,S,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,West Virginia,
5,160,MIN,Kentrell Brothers\BrotKe00,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats
5,161,CIN,Christian Westerman\WestCh02,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats
5,162,KAN,Kevin Hogan\HogaKe00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats
5,163,GNB,Trevor Davis\DaviTr03,WR,23,2016,0,0,0,0,0,2,,,,,,,,,0,0,0,,,,California,
5,164,PHI,Halapoulivaati Vaitai\VaitHa00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
5,165,KAN,Tyreek Hill\HillTy00,WR,22,2016,0,0,0,0,0,4,,,,,,3,-6,0,11,67,2,,,,West Alabama,
5,166,HOU,D.J. Reader\ReadD.00,NT,22,2016,0,0,0,0,0,4,,,,,,,,,,,,1,,,Clemson,College Stats
5,167,ARI,Marqui Christian\ChriMa00,SS,21,2016,0,0,0,0,,1,,,,,,,,,,,,,,,Midwestern St.,
5,168,CLE,Spencer Drango\DranSp00,G,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Baylor,College Stats
5,169,DET,Antwione Williams\WillAn01,LB,23,2016,0,0,0,0,0,3,,,,,,,,,,,,3,,,Georgia Southern,College Stats
5,170,ARI,Cole Toner\ToneCo00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Harvard,
5,171,SEA,Alex Collins\CollAl00,RB,22,2016,0,0,0,0,0,3,,,,,,7,13,0,2,19,0,,,,Arkansas,College Stats
5,172,CLE,Rashard Higgins\HiggRa00,WR,21,2016,0,0,0,0,0,4,,,,,,,,,0,0,0,,,,Colorado St.,College Stats
5,173,CLE,Trey Caldwell\CaldTr00,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,La-Monroe,
5,174,SFO,Fahn Cooper\CoopFa00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
5,175,SDG,Jatavis Brown\BrowJa05,OLB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,17,,1.0,Akron,College Stats
6,176,DEN,Andy Janovich\JanoAn00,FB,23,2016,0,0,0,0,0,4,,,,,,2,30,1,2,24,0,,,,Nebraska,College Stats
6,177,LAR,Temarrick Hemingway\HemiTe00,TE,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,South Carolina St.,
6,178,KAN,D.J. White\WhitD.00,CB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,2,1,,Georgia Tech,College Stats
6,179,SDG,Drew Kaser\KaseDr00,P,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Texas A&M,College Stats
6,180,MIN,Moritz Boehringer\BoehMo00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,,
6,181,JAX,Tyrone Holmes\HolmTy01,OLB,23,2016,0,0,0,0,,3,,,,,,,,,,,,,,,Montana,
6,182,BAL,Keenan Reynolds\ReynKe00,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Navy,College Stats
